leiden_new,cell_type,broad_cell_type
0,Aboral epidermis A,Epidermal
1,Epidermis muscle enriched,Epidermal
2,i-cell A,i-cells
3,Gastroderm A,Gastroderm
4,Gastroderm B (digestive),Gastroderm
5,Epidermis GFP1 enriched B,Epidermal
6,Aboral epidermis B,Epidermal
7,Nematoblast B,Cnidocyte
8,Nematoblast A,Cnidocyte
9,i-cells B,i-cells
10,Epidermis GFP1 enriched A,Epidermal
11,RFamide neurons,Neural
12,Cnidocytes,Cnidocyte
13,Oral basal epidermis,Epidermal
14,Neurosecretory cells,Neurosecretory
15,Mucous cells,Mucous
16,Differentiating cnidocytes B,Cnidocyte
17,Differentiating cnidocytes A,Cnidocyte
18,Granular cells A,Granular
19,i-cell B,i-cells
20,QYFamide neurons,Neural
21,Nk2d neurons,Neural
22,Granular cells B,Granular
23,GLWamide neurons,Neural
24,Gastroderm C,Gastroderm
25,HFRIa neurons,Neural
26,Epidermis,Epidermal
